ETIQUETA (TEXTO Y AUDIO),TEXTO,PRIORITARIA
DMG_PLAYER_100_50_001,Tus niveles de vitalidad han disminuido. ¿Quizá necesitas una charla motivacional?,NO
DMG_PLAYER_100_50_002,Recibir daño es solo una percepción subjetiva. Prosigue.,NO
DMG_PLAYER_100_50_003,"Anomalía detectada en la biometría. Si puedes leer esto, sigues siendo útil.",NO
DMG_PLAYER_100_50_004,Tu traje ha registrado fallos estructurales. Se recomienda evitar más errores humanos.,NO
DMG_PLAYER_100_50_005,Considera el dolor como una oportunidad de mejora continua.,NO
DMG_PLAYER_100_50_006,Deterioro en el traje registrado. La reparación corre por tu cuenta.,NO
DMG_PLAYER_100_50_007,Tu integridad física está comprometida. El flujo de trabajo no debería estarlo.,NO
DMG_PLAYER_100_50_008,"Recuerda: si el traje se mancha de sangre, la limpieza del mismo es tu responsabilidad.",NO
DMG_PLAYER_50_01_001,Estimulante disponible. Consumo voluntario obligatorio recomendado.,SÍ
DMG_PLAYER_50_01_002,Nivel vital bajo. Una dosis más y seguirás siendo estadísticamente rentable.,SÍ
DMG_PLAYER_50_01_003,Una dosis a tiempo evita auditorías por negligencia.,SÍ
DMG_PLAYER_50_01_004,Puedes seguir sufriendo… o puedes drogarte gentilmente por orden corporativa.,SÍ
DMG_PLAYER_50_01_005,Ese hilillo de sangre dice ‘urgente’. ¿Hace falta que te lo deletree?,SÍ
DMG_PLAYER_50_01_006,Estimulante disponible. Legalmente no podemos llamarlo droga. Así que lo llamamos ‘rendimiento concentrado’.,SÍ
DMG_PLAYER_50_01_007,No es dopaje si la empresa lo proporciona. El estimulante es una herramienta más para alcanzar tu potencial.,SÍ
DMG_CARGA_100_50_001,"Daños registrados en la unidad de transporte. Recuerda: tu integridad es negociable, la suya, no.
",NO
DMG_CARGA_100_50_002,Estado del cargamento: degradado. Estado del operario: sustituible.,NO
DMG_CARGA_100_50_003,Deterioro logístico detectado. La corporación te recuerda que estás aquí para proteger algo más importante que tú.,NO
DMG_CARGA_100_50_004,"La carga está en riesgo. Tu rendimiento, en evaluación.",NO
DMG_CARGA_100_50_005,No te castigues por el estado de la carga. La corporación ya se encargará de eso en tu evaluación.,NO
DMG_CARGA_100_50_006,"Recuerda: no eres un fracaso. Solo necesitas reenfocar tus prioridades. En este caso, la carga.",NO
DMG_CARGA_100_50_007,"Cada impacto es una oportunidad de mejora. Para ti, y para el blindaje del cargamento.",NO
DMG_CARGA_50_01_001,"Estado del activo por debajo del umbral de estabilidad. Se sugiere, con insistencia, intervención inmediata.",SÍ
DMG_CARGA_50_01_002,Alerta de integridad: el activo está alcanzando el límite inferior de tolerancia. La pasividad no está protocolizada.,SÍ
DMG_CARGA_50_01_003,Vida de la carga por debajo del 50%. La eficiencia de la misión entra en territorio discutible. Esfuérzate más o afronta las consecuencias.,SÍ
DMG_CARGA_50_01_004,Estado crítico. Refuerza la defensa antes de que el sistema comience a calcular pérdidas.,SÍ
DMG_CARGA_50_01_005,"El activo sigue bajo ataque. Mejorar tu defensa no es opcional, solo urgente.",SÍ
DMG_STRUCT_100_50_001,Estado estructural en descenso. ¿Tal vez deberías concentrarte un poco más? Gracias.,NO
DMG_STRUCT_100_50_002,"La estructura presenta daños. Por favor, recuerda que reconstruir es más caro que proteger.",NO
DMG_STRUCT_100_50_003,Integridad del punto defensivo en riesgo. La palabra ‘prioridad’ existe por una razón.,NO
DMG_STRUCT_100_50_004,"La estructura necesita apoyo. Tú también, probablemente. Pero empecemos por lo importante.",NO
